,,,,,,,,,,
ST001D01T,Student International Grade (Derived),Family and Home,Me,Student International Grade (Derived),,,,,,2015
ST003D02T,Student (Standardized) Birth - Month,Family and Home,Me,Student (Standardized) Birth - Month,,,,,,2015
ST003D03T,Student (Standardized) Birth -Year,Family and Home,Me,Student (Standardized) Birth -Year,,,,,,2015
ST004D01T,Student (Standardized) Gender,Family and Home,Me,Student (Standardized) Gender,,,,,,2015
ST005Q01TA,What is the <highest level of schooling> completed by your mother?,Family and Home,Mother,What is the <highest level of schooling> completed by your mother?,,,,,,2015
ST006Q01TA,Does your mother have this qualification? <ISCED level 6>,Family and Home,Mother,Does your mother have this qualification? <ISCED level 6>,,,,,,2015
ST006Q02TA,Does your mother have this qualification? <ISCED level 5A>,Family and Home,Mother,Does your mother have this qualification? <ISCED level 5A>,,,,,,2015
ST006Q03TA,Does your mother have this qualification? <ISCED level 5B>,Family and Home,Mother,Does your mother have this qualification? <ISCED level 5B>,,,,,,2015
ST006Q04TA,Does your mother have this qualification? <ISCED level 4>,Family and Home,Mother,Does your mother have this qualification? <ISCED level 4>,,,,,,2015
ST007Q01TA,What is the <highest level of schooling> completed by your father?,Family and Home,Father,What is the <highest level of schooling> completed by your father?,,,,,,2015
ST008Q01TA,Does your father have this qualification? <ISCED level 6>,Family and Home,Father,Does your father have this qualification? <ISCED level 6>,,,,,,2015
ST008Q02TA,Does your father have this qualification? <ISCED level 5A>,Family and Home,Father,Does your father have this qualification? <ISCED level 5A>,,,,,,2015
ST008Q03TA,Does your father have this qualification? <ISCED level 5B>,Family and Home,Father,Does your father have this qualification? <ISCED level 5B>,,,,,,2015
ST008Q04TA,Does your father have this qualification? <ISCED level 4>,Family and Home,Father,Does your father have this qualification? <ISCED level 4>,,,,,,2015
ST011Q01TA,In your home: A desk to study at,Family and Home,At Home,In your home: A desk to study at,,,,,,2015
ST011Q02TA,In your home: A room of your own,Family and Home,At Home,In your home: A room of your own,,,,,,2015
ST011Q03TA,In your home: A quiet place to study,Family and Home,At Home,In your home: A quiet place to study,,,,,,2015
ST011Q04TA,In your home: A computer you can use for school work,Family and Home,At Home,In your home: A computer you can use for school work,,,,,,2015
ST011Q05TA,In your home: Educational software,Family and Home,At Home,In your home: Educational software,,,,,,2015
ST011Q06TA,In your home: A link to the Internet,Family and Home,At Home,In your home: A link to the Internet,,,,,,2015
ST011Q07TA,In your home: Classic literature (e.g. <Shakespeare>),Family and Home,At Home,In your home: Classic literature (e.g. <Shakespeare>),,,,,,2015
ST011Q08TA,In your home: Books of poetry,Family and Home,At Home,In your home: Books of poetry,,,,,,2015
ST011Q09TA,In your home: Works of art (e.g. paintings),Family and Home,At Home,In your home: Works of art (e.g. paintings),,,,,,2015
ST011Q10TA,In your home: Books to help with your school work,Family and Home,At Home,In your home: Books to help with your school work,,,,,,2015
ST011Q11TA,In your home: <Technical reference books>,Family and Home,At Home,In your home: <Technical reference books>,,,,,,2015
ST011Q12TA,In your home: A dictionary,Family and Home,At Home,In your home: A dictionary,,,,,,2015
ST011Q16NA,"In your home: Books on art, music, or design",Family and Home,At Home,"In your home: Books on art, music, or design",,,,,,2015
ST011D17TA,In your home: <Country-specific wealth item 1>,Family and Home,At Home,In your home: <Country-specific wealth item 1>,,,,,,2015
ST011D18TA,In your home: <Country-specific wealth item 2>,Family and Home,At Home,In your home: <Country-specific wealth item 2>,,,,,,2015
ST011D19TA,In your home: <Country-specific wealth item 3>,Family and Home,At Home,In your home: <Country-specific wealth item 3>,,,,,,2015
ST012Q01TA,How many in your home: Televisions,Family and Home,At Home,How many in your home: Televisions,,,,,,2015
ST012Q02TA,How many in your home: Cars,Family and Home,At Home,How many in your home: Cars,,,,,,2015
ST012Q03TA,How many in your home: Rooms with a bath or shower,Family and Home,At Home,How many in your home: Rooms with a bath or shower,,,,,,2015
ST012Q05NA,How many in your home: <Cell phones> with Internet access (e.g. smartphones),Family and Home,At Home,How many in your home: <Cell phones> with Internet access (e.g. smartphones),,,,,,2015
ST012Q06NA,"How many in your home: Computers (desktop computer, portable laptop, or notebook)",Family and Home,At Home,"How many in your home: Computers (desktop computer, portable laptop, or notebook)",,,,,,2015
ST012Q07NA,"How many in your home: <Tablet computers> (e.g. <iPad®>, <BlackBerry® PlayBookTM>)",Family and Home,At Home,"How many in your home: <Tablet computers> (e.g. <iPad®>, <BlackBerry® PlayBookTM>)",,,,,,2015
ST012Q08NA,"How many in your home: E-book readers (e.g. <KindleTM>, <Kobo>, <Bookeen>)",Family and Home,At Home,"How many in your home: E-book readers (e.g. <KindleTM>, <Kobo>, <Bookeen>)",,,,,,2015
ST012Q09NA,"How many in your home: Musical instruments (e.g. guitar, piano)",Family and Home,At Home,"How many in your home: Musical instruments (e.g. guitar, piano)",,,,,,2015
ST013Q01TA,How many books are there in your home?,Family and Home,At Home,How many books are there in your home?,,,,,,2015
ST123Q01NA,<this academic year>: My parents are interested in my school activities.,,,,,,,,,2015
ST123Q02NA,<this academic year>: My parents support my educational efforts and achievements.,,,,,,,,,2015
ST123Q03NA,<this academic year>: My parents support me when I am facing difficulties at school.,,,,,,,,,2015
